Date,NVDA_Close,META_Close,NFLX_Close,ADBE_Close,PYPL_Close
,NVDA,META,NFLX,ADBE,PYPL
2020-01-02,-0.8509090826419716,-0.7184037895216981,-0.9179216022122344,-1.4283162589050256,-0.26293953758940025
2020-01-03,-0.8536288834136067,-0.7278453459927451,-0.9454924664245898,-1.4554817827336228,-0.2888884378947079
2020-01-06,-0.8529276896321232,-0.6944170834315595,-0.8754724604724852,-1.4357816202674643,-0.2705025656533726
2020-01-07,-0.8508949112432976,-0.6905044411691884,-0.9112933015990036,-1.4390993125442062,-0.2770223968496117
2020-01-08,-0.850576183112777,-0.6721316615839459,-0.8512861138903126,-1.392648456442565,-0.24898710280883762
2020-01-09,-0.8487063150162394,-0.645933467684196,-0.8766710720696443,-1.365897446384357,-0.2392073560144789
2020-01-10,-0.8477855523666445,-0.6479749309013669,-0.9232807087141466,-1.3725334637832916,-0.2345130695944084
2020-01-13,-0.842360095203176,-0.6152271560792383,-0.8536835522752229,-1.3121884858054715,-0.20386988286903018
2020-01-14,-0.8456890229479405,-0.6394690288478027,-0.8553054437667468,-1.322557025674263,-0.212215258841438
2020-01-15,-0.8469001979495804,-0.6216917247053969,-0.8526258905157907,-1.3400798833663383,-0.209476941677185
2020-01-16,-0.8445203621423225,-0.6164179771751467,-0.8557990909846791,-1.3147806207726693,-0.20230508756743038
2020-01-17,-0.8442724639862994,-0.6132708349480528,-0.84839502828747,-1.269573938827647,-0.1939597115950226
2020-01-21,-0.845221555923806,-0.6192249404275948,-0.8593953561573404,-1.266878017206489,-0.19252534077307165
2020-01-22,-0.8436845873564629,-0.6202456071412976,-0.9447872868547711,-1.2662559301281797,-0.20100114122512833
2020-01-23,-0.8417368103408089,-0.6335149233682607,-0.7783750223353655,-1.2486292857821442,-0.16983635606588351
2020-01-24,-0.8434225178017658,-0.6489955976150698,-0.7532721790220797,-1.252673168213881,-0.1817023971109797
2020-01-27,-0.850703671663098,-0.6751087792185995,-0.8257602058732539,-1.2990205540842876,-0.2043914813028968
2020-01-28,-0.8452003055805132,-0.6502715607969636,-0.785990617384461,-1.2188716269863489,-0.18770072935808121
2020-01-29,-0.846921434783437,-0.6039994328592113,-0.8237858321921167,-1.2496662030535683,-0.18587508509718362
2020-01-30,-0.8467302087126737,-0.7205302650350892,-0.7914906737241001,-1.1969941597461071,-0.17987685233481107
2020-01-31,-0.8533739063129647,-0.7853451971505242,-0.8101767487760415,-1.2550577298731587,-0.22199500563579672
2020-02-03,-0.8506115913453077,-0.7659517508515788,-0.7191435967106528,-1.1839296982561578,-0.18783105435300115
2020-02-04,-0.8457952746644049,-0.7179784684610668,-0.6415079957094526,-1.093308761058193,-0.1412794635912428
